	score	comment	INPUT_URL = "https://review.rakuten.co.jp/item/1/351180_10001030/1.1/"  # 74210
166	4	立体マスクとプリーツマスクを買ってみました。カラーはバイカラーもかわいくてよかったです！！ハニーだけ画像よりちょっと霞んでたので残念でした。でも他の色は可愛かったです。マスク自体もけっこうしっかりしてそうなので使うのが楽しみです。
167	5	密閉状態で包装してあり衛生的で、とてもいいです。
168	5	フラップ型30枚普通に使えるマスクです。少し前までは圧縮した袋に入って届いてたけど、最近は箱になったみたいで、マスクにシワもなく使えるからありがたい。
169	4	白色のクチバシタイプ購入しました。少し大きめですが、顎の下の部分もしっかりガードできてるので安心な感じです。
170	4	マスク全てが一枚のビニール袋に圧縮され入っていました。取り出しましたが特に問題はなく使用できました。クーポンでお得に購入出来ましたし、早く届けてもらえましたので納得です。平たいゴムで耳は痛くならないのと想像通りの色で良かった。
171	5	ブラック×ライラックをリピート買いしました。洋服がモノトーンばかりで地味に見えるので、マスクにアクセントができる気がして愛用しています。さらにこのライラックカラーが肌が綺麗に見えると言われて、ついリピートしました。このマスクがあれば今の生活も悪くないな、と思います。
172	5	ゴムも柔らかく、耳が痛くなる私にはちょうどいい太さです。色もライラックを選びました。他の色もまた買いたいです。
173	4	自分用と母親用で、小さめサイズのヘーゼルナッツ、サンドベージュ、ベビーピンク、シュガーピンクを購入。耳が痛くなりやすいので、幅広ゴムに惹かれました！長時間つけても全く痛くありません！！シワのレビューなどあって心配でしたが許容範囲でした。肌も弱い方ですが痒みなどもなく毛羽立たないので鼻がムズムズしなくて気に入りました！なくなりそうになったらリピートしたいです！
174	4	小さめのプリーツを購入しました。とても綺麗な色合いですぐに到着して、とてもいい感じですが、ちょっと薄いかな？？？どうだろ。また、使用したら更新したいとおもいます。
175	4	紐が太くて痛くなりにくいのでいつも活用してます。今回初めて、1つだけパッケージが違うものが来ました。商品の仕様でパッケージの変更もあり得ると小さく書いてありましたが、お洒落なパッケージを売りにしているのに、中身はこれを入れ替えてるのかな、とか思ってしまいました。私は気にしませんが、中にはガッカリする人もいるかと思いレビュー残しました。
176	4	立体マスクの箱が他店だと大きく管理に困っていたところ、こちらは箱がコンパクトで助かります。マスク自体は、薄手の立体型で今の季節にいいです。ただ、普段小さめタイプW195mm使用しているので、こちらのはやや大きく、紐を捻って使用中。小さめタイプもあると良いなと思いました。
177	4	クーポンでお得に買うことができてよかったです。
178	5	優しい色合いでとってもかわいいです。夏の間寒色系を愛用していてマスク生活がいつまで続くのかわからないけど秋冬春は暖色系にしようと思ってます。05 APRICOT、07 SUGAR PINK、08 BABY PINK、09 PINKで迷ってBABY PINK購入しましたが、やっぱり他の候補のお色の方も気になるので次回どれか購入しようと思ってます。
179	4	アイスブルー、ベビーピンク、ショコラ、写真にはないが子供用にアイスブルーのプリーツを購入しました。アイスブルーを見た瞬間、私も子供も、良い色！と喜びました。が、子供用だが少し大きいのでゴムのとこで調整してなんとか…他の色も良い色で良かったです。ショコラだけ30枚まとめてだったので、保管の仕方を考えやっていきたいと思います。また無くなる前に購入しようかな
180	5	自分用にハニーとフェザーマリンを購入しました。ハニーは明るいクリーム色で、どちらもサンプルのカラー通りだと思います。フェザーマリンは全てまとめて真空パックで一枚の袋に入ってました。どちらもオシャレで着けるのが楽しみです☆次はサンドベージュともう一種類他のカラーを購入しようと思います。
181	5	とても安いです^_^ベビーピンクを選択しましたがとても可愛かったですまたなくなったら購入したいと思います
182	4	お安く買えて良かったです。店頭で中々ないカラーを選べたのでお洋服に合わせて付けられますね。
183	4	今回はちょっと残念でした。前回購入したチャコールが真っ黒ではなく、黒に近いグレーで仕事のワイシャツやスラックスに非常に合わせやすくて重宝してたこともあり、今回も同じチャコールを注文しましたが今回は前回とは全く違う色のものが届きました。購入後、改めて商品ページを確認したところ色が変更されていたようです。ただ従来のものと同色を謳って販売するのはいかがなものしょうか。個人的にはこのお店のマスクについては概ね満足していますが、今回に限っては少々残念でした。
184	4	KN94バイカラー ベビーピンク購入。この形は何度も使用していますが、バイカラーはお初。どの色にするか結構悩みましたが、これで正解♪とても気に入りました。ひもの色、チョコレート色で肌馴染み良し！髪色にも馴染んで可愛いです。ぜひリピしたいと思っています。が、1枚紐がついていませんでしたー。手に取ってそのまま外出しそうになって焦りました。せっかくお安く買えてもこういうのがあるとお得感薄れ残念です。
185	5	耳のゴムが太く、大きさも小さめではないカラーマスクが欲しかったので、大変重宝しています。アレルギー体質で、すぐに顔が痒くなってしまうのですが、こちらのマスクは私に合っているようで、痒みも出なくて助かります。前回は他店で購入しましたが、今回はセール中だったので、こちらのお店を利用させていただきました。
186	4	リピート購入です。SOKAITEKIシリーズはイヤーゴムが肌にやさしくて長時間つけていても全然耳が痛くなくて気に入っています。前回はフラップタイプも購入しましたが、形状が私には合わず耳が痛い&息苦しいため、オリジナルを10セット購入しました。他の口コミで不良品があった等書かれていたので、一応届いたあとに全部開封して枚数とゴムの接着具合を確認させていただきました。今回は残念ながら写真の通りゴムの部分を結んでいるものが２枚ありました。でも好きな商品なのでまたリピートすると思います。
187	4	オシャレな箱でコンパクトに届きました☆箱は少し破損は見られましたが、口コミを見ていたので想定内でした☆カラーはとても可愛かったです♪少し内側が毛羽立つものもあったり、少しサイズ大きいかな？とは思ったのですが、ノーズワイヤーがあるので、そちらで自分のフィットする場所で固定するので使えました☆安くて可愛いさは良かったです☆
188	4	立体マスクを購入しようと思いましたが、普通サイズと子供用しかなく、子供用サイズが娘に合うかわからず、先ずはお試しで、プリーツの小さめサイズを購入しました。       届いたケースには[Mふつうサイズ]の記載があり誤納かと思いましたが、規格を見ると小さめサイズの寸法と同じでしたので                         普通サイズ＝L、小さめサイズ＝M、子供サイズ＝Sなのかと推測いたしました。                   色はハニーを選択、派手すぎず程よい色合いでした。     プリーツ小さめは、150センチ中3の娘には少々大きめ、ゴム紐を一センチ程結んでちょうど良いサイズでした。次は立体の子供用試してみたいと思います。
189	4	サンドベージュ購入。本当に砂っぽい感じでした笑。仕事用にします。
190	4	小学生の子供用によく購入しています。初めてピスタチオに挑戦しました!!とても可愛い色味で子供も気に入っていますが､写真の様なゴムが切れて､それを直した!?ような不良品が入っていてガッカリしました。白やピンクには入っていた事はないので､ピスタチオだけなのか… 耳のゴムは柔らかくて痛くならないので大人用にもよく購入しています
191	5	アプリコット、リピートです。色が肌に合い、耳が痛くならないゴムで気に入りました。
192	4	夫にまちがえてKN94を購入してしまいましたが、特に文句も言わず『へぇーこんな感じなんだぁ』と使用しています。(きっと気に入ったんだと思います。)チャコールグレーの色味はとても気に入ってます。
193	5	画像右側がフェザーマリンです。くすみカラーでどんな服にも合わせやすく、子供たちも気に入ってます！リピ買い予定です。
194	4	プリーツ型ライトグレーとライラック、KN94型ライラックバイカラーを購入しました。プリーツ型は圧縮されて着たのでシワシワが心配でしたが大丈夫そうです。同じライラックなのにかなり色味が違います。左KN94型ライラックバイカラー、真ん中プリーツ型ライラック、右プリーツ型ライトグレー
195	4	アイスグレーが気に入りすぎてリピ購入しました。同じアイスグレーでも形ごとに耳紐の色が違いました。それから初めてライラックとチャコールを購入してみましたが、チャコールは写真より茶色みが強かったです、、ライラックは写真よりちょっとピンク味強いかな？くらいです。若干の色味違いで星4ですが、かわいいのでこれから付けるの楽しみです。
196	5	３度目の購入です。１度も不良品などなく、きちんとした商品でフラップ型がお気に入り。今回はすぐに完売なっちゃうアイスブルー、前回買ってカラーがとても気に入りましたので、４箱まとめ買いしました。きちんとヤマト宅急便で中身が見えないしっかりした袋にまとめて届きました。22日以降の発送でしたが、早く入荷したのですぐに発送致しますと連絡来て翌日には届きました。またなくなったらリピし続けます！フラップ型マスクはこれが1番、家族にもすすめたら早速５箱も買ってましたww
197	5	色々なショップを見て、レビューの評価が高いこちらのマスクを注文しました。カラーはアイスブルー、ヘーゼルナッツ、アイスグレー、ホワイトを選びました。以前違うショップで注文したら全く色味が違う商品が届いたのでガッカリしましたが、こちらのマスクは思ってた通りの色味で満足です。呼吸もしやすく、大変満足です。また、手持ちのマスクが少なくなったら注文したいと思います。
198	5	主人用に白のマスク、私用にライラックのマスク（どちらもプリーツタイプ）を購入しました。一日つけてみましたが、幅の広めな耳ひもなので、耳が痛くなることもなく、つけ心地がよかったです(*^^*)ライラックは、薄紫に近いピンク色で、派手で濃い色が苦手な私には使いやすそうです♪クーポン利用で安く購入できたので、コスパも良くて満足です！ヘーゼルナッツも気になっていたのですが、売り切れだったので、再入荷したら購入してみようと思います(*^^*)
199	5	普通の子供用だとサイズが小さすぎるここの小さめサイズだとちょうどいい色もカッコよくてOKいただきました
200	5	珍しい色で他の人と被らなそうで良いです。
201	4	10枚入り包装です。他のレビューで臭いがあるとありましたが、実際開けると臭いがして気になりました。でも、広げて時間が経つと臭いが消えたので問題なく使えます。開けてすぐつけてみましたが、つけ始めは臭いがしましたがすぐに気にならなくなるので大丈夫でした。厚さは薄めではありますが、私的には問題ないくらいでした。コスパ的にいいので購入してよかったです。開封直後、臭いが気になったので星が4つにしました。
202	5	注文してすぐに発送して下さり3日後にはポストに投函されてました。いつも使っているマスクだと紐が細く痛くなって長時間つけるのはキツかったですがこちらのマスクは全然痛くならず購入して本当に良かったです。ヘーゼルナッツ色を今回購入したのですがとても良い色で他の色も気になるのでまた購入したいと思います。
203	4	前回使い心地も良く、お安く購入できたので、今回リピート購入させていただきました。前回購入させていただいた時は真空パックのビニール入りだったのが、今回シンプルでお洒落なお箱になっていてとっても可愛くバージョンアップしていて気分も上がりました。お洒落なのでストック用でそのまま箱を利用させていただいておりますが、全てのお箱が上から取り出せるようになったら良いなと思い☆4とさせていただきました。ぜひご検討の程よろしくお願いいたします。
204	5	初めてクーポンを使って購入しました。とっても良かったです。開けて中身も確認しましたが特に不良品もなく多少消毒のような匂い？はありましたが、許容範囲です。少し袋からだしておいておきます。小時間着用しましたが、ゴムも痛くなくマスクの締め付けもなくとても楽です。ヘーゼルナッツとワインのバイカラーもこれからの季節にいいと思います。また購入したいです。
205	4	リピートです!アプリコット淡いオレンジで肌馴染みが良いと思います!つけた感じも良いし当分リピートかな?
206	4	リピートです。アイスブルーのKN94とピスタチオとホワイトの子ども用を購入。ピスタチオは色味が思ったよりも深めで、カーキっぽいです。KN94の形は子どもは使ったことがないので、どちらが使いやすいかこれから試してみます。
207	5	立体3Dマスク(ブラック)購入。30枚で、クーポン利用したため安く購入出来ました。10枚づつ梱包され、保管もしやすかったです。
208	4	今日届きました!思ったより薄い色味でしたが、これはこれで良いかもしれません。今のところ不良品は見つからないです。
209	5	アイスグレーとヘーゼルナッツを購入しました。ヘーゼルナッツは写真と同じ色でアイスグレーはこの写真よりももう少し明るい色です。どちらも可愛いくてリピしたいです！
210	5	KN94バイカラーの【9】ピンクと【15】アイスグレーをまとめ買いしました。めちゃくちゃ可愛いです。顔は大きめなので心配でしたが、耳元までしっかり隠れます。450円弱ほど(？)で30枚、、、もう少し安くなると嬉しいです。
211	4	KN94バイカラー12ライラック×ブラックを購入。シュリンク包装の商品にそのまま発送伝票シールを貼った状態で到着。箱の裏にはマスクと完全に分かる感じで、梱包に不安な方やマスクと分かるのが嫌な方にはオススメはしません。安い分はこの辺は仕方ないのと過剰梱包よりはエコでいいと思います。箱自体は可愛くて私は満足でした。中身はカラー含め画像通りでこちらも不満はなし。安くでバイカラーのお洒落なマスクが購入できました。
212	5	クーポンで403円に惹かれての購入です。色はアイスブルーにしました。夏っぽくてかわいいです。写真が暗くてグレーっぽさも感じるのですが、実物はもっと白っぽさがあります。イエベだと似合わないとかあるかもですが、気分が上がるかわいい色味です。プリーツマスクのサイズは顔大きめでちょうどいいと感じました。外箱はかわいいけど51枚がまとめて入っている物なので持ち運びは微妙だし、家での保管もしまう場所に悩みますね。でもかわいいです。またクーポンゲットできたらリピしたいです。
213	4	誤ってこちらのものを購入したのが、正直、事実です。ですが、ゴムが平なのと他社とは違い、耳が痛くならず快適！
214	4	リピートですが、前回はプリーツタイプで、今回は3Dタイプ20枚を3箱購入しました。クーポンでお安く買えましたがプリーツタイプと比べると枚数が半分以下なので割高ですね。しかし、小顔効果はあります。くちびる前に空間が出来るので息がしやすく、口紅がマスクに付きにくく、満足してます。が、歩いたり、話したりしている間に少しづつ下にズレてくる感じがしたので星4にしました。
215	4	子供用に購入しました。配送も比較的早くてよかったです。
216	5	ヘーゼルナッツとグレーを購入しました。どちらも可愛かったです。またリピートしたいです。
217	5	セールで注文しました。以前、似た形のマスクを使っていましたが、こちらのほうが快適です。マスクの素材が柔らかで、紐もきつくありません。以前の物は紐を限界まで伸ばしきっても耳が痛くなっていましたが、こちらはふわっとしています。紐の長さを比べると同じなので、いい素材なんでしょう。パッケージも可愛いです。
218	4	まだ使ってませんが色味はいい感じです！ピンクが意外と華やかでしたがでも使えそうです&#128582;
219	5	以前購入して、肌あたりも良く、耳ゴムもふわふわで痛くなかったので、前から気になってたフェザーマリンとピスタチオを購入しました！凄くきれいな色で、耳ゴムも前より太くなって更に良くなってます！お安いので冒険した色でも躊躇なく購入できます。1枚1枚確認はしてませんが、不良品がないことを願って☆5に！
220	4	3回目の購入です。今回初めてですが、圧縮が強すぎてマスクが変形して形が付いてしまってます。付けてしまえば気にならないかな？お値段を考えたらあまり強く言えないですが、今回は-1で。
221	5	いつもはプリーツタイプのマスクを愛用していますが今回間違えてフラップタイプを購入してしまいました。顔デカなのでプリーツタイプ以外は何かしっくりくる物がなく…最初は失敗した！と思いましたが付けてみるとしっくりくる！顔にのっけている感もなくフィットしてくれます。リピートでアイスグレーも注文しよー！
222	5	何度目かわからないほどリピートしています。耳が痛くならない。五人家族で毎日5枚以上消費するため、このお値段にとても助けられています。
223	4	COGAOマスクのヘーゼルナッツとベビーピンクを購入しました。2色とも可愛い色です！息がしづらく暑く感じました。夏場は暑いので夏が終わったらこちらのマスクを使っていこうと思います。
224	5	白を買いました。ラッキーな日に半額で購入できました。化粧が落ちにくく、呼涼しいですね。涼しいですね。とてもいいです。
225	5	ピスタチオ、アイスグレー、シュガーピンク、ライトパープル、アプリコットのオリジナル（プリーツ）タイプを購入しました。色味は、画像より少し濃いめかもしれませんが、それほど気になりませんでした。ふつうサイズは大きめだと思うので、女性は小さめでもいいかもしれません。ゴムが緩めなので、耳が痛くならなくていいですね。クーポンでビックリするくらいお安くなったので、購入してよかったです。
226	4	プリーツ型（小さめサイズ）のヘーゼルナッツを購入しました。ヘーゼルナッツということですが、サーモンピンクに近い色味で、肌馴染みが良いと思います。薄すぎず濃すぎず丁度いい色味かなと思います。個人的にはチクチクする感じはありません。一つ気になるとすれば、薬品？？のような臭いが気にはなりますが、しばらく袋を開けておけば気にならないかもしれないです。当たりハズレがあるかもしれませんが、機会があればまた購入したいなと思います。
227	5	購入日2022年7月28日の早朝に注文して本日&#128238;ポスト投函にて無事、届きました&#128515;・KN94 フラッペ型マスク(ホワイト30枚入り)・不織布マスク 子供サイズ(アイスブルー)アイスブルー、淡い水色で可愛かったです&#128077; クーポン利用して２つで1000円弱てお得に購入できました&#128515; ありがとうございました。
228	5	ライラック×ブラック購入。パープルっぽいのを想像してましたが、ピンクに近いカラーで肌馴染みが良いです。長いマスクルールもファッションに合わせたいと思い、洋服がブラックとかモノトーンコーデの時に、アクセントとして使用しています。耳の紐が細めでも柔らかくて、付けててもストレス無くて良いです。
229	5	注文から発送まで早く、色も自分好みのピンクで気に入ってます。耳ゴム痛くないです。自分は気になりませんがビニール越しに中身が見えるのが嫌な方もいるかも。
230	5	気がついたらヘビーユーザーです！もう何色、何回リピートしているかわからないくらいマスクはこちらのものを愛用しています&#9835;フラップ型にしてからメイク崩れも改善しましたし、息苦しくなく、さらに口元も密着しないので1日1枚の交換でOK。今までプリーツ型は2から3枚交換していたのでとても経済的になりました。カラーも豊富なので毎日ファッションに合わせて変えています。
231	4	バイカラーのゴム紐が、どうみても写真と違った。写真では赤（深紅）にしか見えないが、届いたマスク紐はサーモンピンク。イメージした赤と違うってレベルではなく、完全に別の色。赤い紐がオシャレだと思い購入したので残念。マスク自体は、いつもランキング上位常連店で買っており、この商品は今回初めて購入したが素材も柔らかく、いつも買っているマスクより上質なものだった。この色のリピートはないが、マスクのリピートはすると思う。
232	5	いつもピンクやイエローだったので初めてアイスブルーを購入してみました。職場が私服でブルー系の服に合わせてみようかと。夏らしく見た目が涼しく感じます。ゴムも平らで耳に優しい。今までのゴムよりさらに良くなっていて感動です。
233	5	COGAO色違いを幾つか購入しました。以前のものより柔らかくなったように思います。一般的にドラッグストアで売られているものより若干薄めですが暑い季節なので良いです。サイズはたぶんふつうより気持ち小さいのかもしれませんが、かえって私には丁度良かったです♪（一般のふつうサイズだと大きいので…）
234	5	【追記】袋の破れがありましたが、迅速にご対応頂きました。ありがとうございました。【元のレビュー】☆1四つ買ったうちの一つが破れて(切れて)いました。中袋もです。配送の袋は私は手で開けたので、開封時に破いたわけではないと思います。(明らかにカッターかなにかでついた破れです)衛生用品でなければ気にしないのですが…検品や衛生観念はしっかりしているわけではなさそうです。
235	4	普段はベージュの30枚で1600円程度のこのタイプを使っていましたが、それと比べると今回こちらで購入した黒のマスクはすごく薄いです。性能が同等であるとしたらこちらはのマスクは夏着けるのに快適です。薄いためにごわつく感じがなく、着け心地・サイズ感共に今まで使ってたものよりこちらの方が好きです。しばらくここでリピしようと思います。この形のカラバリが増えたらいいなと思いました。
236	5	最近のマスクは毎回こちらで買っています。私が買い始めた時はバイカラーもなく全部がまとめて圧縮されていて、シワシワで使いにくかったのですが...今は10枚ずつ包装されていて圧縮もされていないので、前よりお値段は少し上がっていますが今の方が使いやすいです。
237	4	ビニールの袋に圧縮されて入ってるので一部しわがあったりします。生地もそんなにしっかりした感じではありませんが、夏なのでこのくらいのほうが息がしやすいと思います。すぐに届けていただき感謝です。
238	4	普段使用している他社のものより耳ひもが太くて柔らかそうで良いかもと思い購入。同じサンドベージュが欲しかったのですが、残念ながら品切れでした。色出しが同じかは不明ですが、比べるとヘーゼルナッツはかなりピンクよりです。圧縮されて届いたので多少の折れはありましたが、ひととおりチェックした感じ汚れやひもの不備もなさそうです。また別の色も購入してみたいと思います。
239	4	人気のベビーピンクを購入。早く欲しくてレギュラーサイズがなかったので１つ小さめのを購入。サイズ的には全然問題なかった。お色は思ってたよりベージュよりというかピンクが濃くなかった。ベビーピンクというだけあって！！写真を参考にしたのですが。。wまあでも満足です！！また安い時に違う色挑戦したいなあ 中身全部確認したわけではないから分からないけど、使用不可つぽいのは混じってなさそう
240	5	COGAOを購入しました。息をするとパカパカしますが口がマスクに当たらないので良いです。色も気に入りました！
241	5	前回の立体マスクがまだ残っているのですがプリーツも欲しくなったので購入しました。色は前回も今回もアイスグレーです。グレーを着用するのは初めてでしたがとてもいい色ですね。プリーツマスクは手に取ると生地が少し薄いかなと思いましたが着けてみると透けることもなく涼しい感じでいいです。発送もメチャメチャ速くて、ありがとうございました。
242	4	3年生の娘用にプリーツ型のライラックを購入。色味は落ち着いた(くすんだ)紫色でした。マスクが入っているビニールの匂い？が少し臭く感じたので、詰め替えました。まぁ、クーポン使って398円で、値段相応だと感じました。元の値段だったら買わないかな？
243	5	ハニーはとても優しいカラーでネイビーはクールで洋服に合わせて使い分けています。
244	5	アプリコットを購入。薄いピンク系で、明るいカラーでした。くすんだ肌とも以外と相性がよく、40代でもトーンが明るいマスクも有りだと思いました。ゴムが柔らかく、気に入りました。小顔の方はゴムがゆるめに感じるかもです。
245	4	子どものためにネイビーを購入しました。形や色はとてもよかったです。ひとつだけ、少し残念だったのは不織布を重ねているところが白く線にみえてしまうことです。新品でも着用すると見えてしまったので、何日も使い込んだもののように見えてしまうかな…と気になりました。目線の高さによりますが、子どもが着けているので大人の目線の高さからだと常時見えています。色がネイビーだったから目立ちますが、白ならば問題ないのだと思います。
246	4	割と早く届きました。想像してたピスタチオとは違う色でしたが(ピスタチオというよりヨモギ餅とかに近い感じがしました)あまり被らない色なので、まぁ、いいかと。小さめサイズを買ってみましたが、サイズも丁度よく内側がチクチクしたりも全くありません。何よりも耳ゴムがとっても良いと思います！次回は違う色も買ってみたいと思います。
247	5	リピート購入です。安いし、カラーも豊富、耳ヒモが太めなので痛くならないのが良いです。仕事で長時間つけるので、ヒモが太めは必須条件です。以前は密閉パックになって51枚全て1袋に入っていましたが、新しくなった物は箱に入って3袋に分かれていました。この方が衛生的で良いと思います。またなくなったら購入させていただきます。たまに他社で急にヒモが細くなった等の残念なレビューを見ますが、こちらのマスク耳ヒモ細くなりませんように…ずっと同じ商品を提供していただきたいです。
248	4	クーポン使用で安かったので試しってことでパーソナルカラーに合わせてライラックカラーを購入しました。届いた瞬間は少し濃いかな？って思いましたが、実際つけてみると肌と馴染んでいい感じでした。(写真より実物の方がピンク紫感が強くて濃いです、特に耳紐。)他のカラーも購入してみたいと思いました。包装がもう少ししっかりしててもいいのかなと思い星−1にしました。
249	5	夫用に購入しました。サイズ感が良いのと、耳が痛くならないとの事で何度かリピしています。
250	4	リピートです。前回、アプリコットを購入。皆さんのレビューの通り圧縮されているのもあり、しわくちゃで使えそうもない商品もありましたが、個人的には安いし、許容範囲でした。今回はライラックを購入。検品したところ、マスクが2枚くっついていて、剥がしたら、1枚は紐なしでした。お店で検品していて、紐なしのマスクに気付かないのでしょうか？追記お店に不良品があったことを問い合わせしたところ、不良品分の返金に対応していただきました。とにかく安いし、色も可愛いマスクなので、また購入したいと思います。
251	5	色毎にパックされ、圧縮されることも無くシワも無くとても良い状態で届きました。少し厚さは薄めですが、これからの季節に良いと思います。とてもお安く購入出来大満足です。またリピートします！
252	5	息がしやすく、眼鏡が曇りにくマスクです。
253	4	注文してわりとすぐに届きました。薄いA4サイズの箱の中に真空パックのように沢山のマスクが入っていました。色も形も満足しています。なかなかこのカラーバリエーションで安値のものはないのでいいと思います。日本人のために作ったという標記から、国産のものかと思っていましたが中国産のものだったのは少し残念でしたが、特に問題はありません。沢山使ってよければまた買い足したいと思います。
254	5	どちらのマスクもとても気に入りました。グレーは思っていたより薄い色でしたがつけると上品な感じで呼吸もしやすいしいいです。ネイビーは好きな色で最近はよく使用していますが素材もしっかりしていてお気に入りになりました。どちらも圧縮してあったのでネイビーのプリーツで数枚シワがありましたが使用には問題なしです。配送も速くてありがとうございました。
255	5	今まで、立体マスクは好きではなかったのですが、こちらの商品はノーズワイヤーもあるし、息もしやすく快適でした！お安く買えて、助かります。
256	5	リピーターです。これは耳が痛くならず、カラーも豊富で愛用しています。お手頃価格なのも気軽に買えて嬉しいです。楽天スーパーセール中に購入しましたが、めちゃくちゃ早く届きました。
257	4	フラップ型を購入しました。密着度が高く、普通のマスクより眼鏡も曇りにくい気がします。価格も安く満足です。
258	4	フラップ型ヘーゼルナッツカラーを購入記載されていた写真よりも濃く、明るい肌色のイメージです紐も同じ色なので化粧汚れが見えなそう記載されていた薄い黄色よりのカラーをイメージしていたので星4です機能、サイズ感などは星5です
259	5	安かったので初めてネットでマスクを買いました。届くのも早かったです。ぺったんこになって届きました。中が圧縮されてました。厚みは1センチも無いです。今回大量に買ったので収納にはとっても助かりました。匂いは私は気になりませんでした。衛生品なので抵抗がありましたが、安売りの時はネットで買いたいと思いました。
260	4	マスク買ったの丸出しで届いて草安いから気にしないけど、箱で届くと思ってたwちょうど包装の切り替わりだったのかな？マスク自体は少し薄く感じたけど、つけるとそんなに透けない気がする。息苦しさも感じないし、ゴムも幅広タイプでいい感じ。51枚が1つの圧縮袋に入って届くから、マスクケースとかないと袋丸出しで保管することになるw激安だからオールOKです
261	4	サンドベージュ購入。旧包装(30枚ひとまとめピチピチ袋)で届きました。画像は開封後ですが、これがビニール外装に入って伝票が貼ってある形でした。商品に問題はありません。以前別のところで買った柳葉型がちょっと生地が厚めだった為、こちらはいい意味で薄く、夏場用に接触冷却を買おうかと思ってましたが、これでもいいかもと思い直しました。ただ、紐が同じ色でなくちょっと残念です。
262	4	ライラックが気に入ってリピです。圧縮されて届いた為、前回最後の方に変なシワがついた物があり、今回届いた物も全て確認してみたら7〜8枚同じようにシワがついてしまっていました。着用しても伸びないシワなので、星1つマイナスです。
263	4	【ピンク系とチェリーブロッサム】顔色が良く見えて、服の雰囲気に合わせ使い分けてます。これまでマスクはドラッグストアで購入していましたが、立体型のカラーマスクは割高なので、こちらで見つけて初めて購入してみました。品質・価格共に満足です。使用感は私の場合、若干押さえつけられてる感じがありましたが、気になる程ではありません。無くなったらまた別の色もリピートしたいと思います。
264	5	ホワイト|マスクタイプ:KN94・フラップ型 (ふつうサイズ)を購入しました。画像のように旧包装だったようです。プリーツマスクに慣れていたこともあって、若干装着に手間取りましたが、息はしやすいので、良かったです。雨の日等に眼鏡が曇るかどうかは、後日検証したいと思います。
265	4	今夜限り!数量限定に飛びついて購入しました。購入から配送までは驚くほど早かったです‥せっかくだから主人の分も合わせて購入しました。以前も同じ様な物を購入したんですが、もう少し梱包は丁寧だったと思います、少し残念でしたが、変な臭いとかも無く肌あたりが柔らか、主人のモノも平ゴムの顔辺り良いと満足しておりましたし、ピスタチオ色の色目も良かったようです。
266	4	お色…チャコールで選択し、注文。届いたお品…グレーと表記。チャコールグレーといいたいのか？統一したらどうですか？
267	4	配送は本体パッケージに宛名シールを貼ってネコポスで投函。これは無駄な梱包がないので好感が持てる。マスクの個別梱包はなく30枚全体の真空パック。以前購入している個別梱包のマスクと比較すると薄手。実際に軽量すると1gの差。装着感は5gのものと比較して軽く息苦しさが無い。マスク本来の機能比較はできないので疑問はあるがこれから蒸し暑くなる季節に向いている商品と言える。
268	5	初めて フラップタイプのマスクを購入。ベビーピンクを注文して 思ってた色と少し違ったが 肌なじみの良い色で 息もしやすくて 着け心地も良かったです。袋にまとめて30枚入ってて、さらに 説明書きの袋に包まれてポスト投函で便利でした。袋を開封した直後だけ臭いましたが、マスクつけたら 気にならなかったです。
269	5	注文した明日に届けてもらったのに、使用後にレビューした方がいいと思い、遅くなりました フラップ型のヘーゼルナッツ色を購入 サイズも、色も、匂いも無臭で良かった
270	5	フラップ型を使用しています。普通のプリーツ型マスクでは、ふつうサイズだと大きくて、小さめサイズは物によってはきつい…という私のサイズ感ですが、こちらのフラップ型マスクはぴったりです。なのでやや小さめなのかなと思います。
271	5	横が165mmでちょうどいい。よく売ってる小さめサイズは145mmで私にはちょっと小さく、でもふつうサイズだとちょっと大きいのでこのサイズはありがたい。しかもクーポンでかなり安く色付きのかわいいマスクが買えて大満足。
272	4	フラップ型がお得に買えるのはよかったです。付け心地も普通に良いと思います。が、圧縮配送だったので、ノーズワイヤーの跡がちょうど口元辺りに付いてしまっていて残念でした。
273	4	1枚に黒い糸？が織り込まれてました。お値段の事を考えると許容範囲です。
274	4	以前私が使ってみて耳も痛くならないし、安いし、色も好きだし、特に気になる点がなく使えたので、今回リピートしました。息子用にホワイトを買いました。写真は私のものですが、このようにたまにゴムが結んであるのが混ざってました。どうせ使い捨てだし、気にならないので私はOKとしますが、Ｂ品と判断される方にはお勧めしません。また無くなったら買う予定です。
275	4	今回購入したのは、ライラック、ハニー、ホワイトです。写真に写っているのは半年ほど前に購入したヘーゼルナッツですが、近頃ヘーゼルナッツを購入すると、耳紐が薄ピンク色に変更され、気に入らないので今後は購入しません。ハニーは明るい色で使いやすそうですし、ライラックはずっとリピしています！若干シワが気になりますが耳紐が太くて使い心地が良いので、次回も購入します！
276	5	ピンク系のマスクは顔色が映えます。安いのに着けごこち満点です
277	5	発送早くて助かりました！クーポンを使って購入出来て良かったです。コチラはピンク系の色を2色購入しました。baby pinkは思っていた通りの色味、sugar pinkは予想以上に明るい色でした…綺麗な色ですが、もぉ少し薄めの淡い色だと思って選んだので、sugar pinkは10代の姪っ子達に使ってもらおうと思います。可愛い色で喜んでもらえると思います！次回は別の色も試してみたいです。
